complaint_num,complaint_begin_date,complaint_begin_time,complaint_end_date,complaint_end_time,prescinct_addr_code,report_date,ky_code,offense_desc,pd_code,pd_desc,crime_stage_code,law_category_code,borough_name,location_occurance,premises_desc,jurisdiction_desc,jurisdiction_code,parks_name,ha_develop,housing_psa,x_coord_code,y_coord_code,suspect_age_group,suspect_race,suspect_sex,transit_dist,lat,lon,lat_long,patrol_borough,station_name,victim_age_group,victim_race,victim_sex
700381962,2015-05-28,15:00:00,NULL,NULL,46,2015-06-01,578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,"RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,NULL,NULL,NULL,1007522,247458,25-44,BLACK,M,NULL,40.84586773,-73.915888033,"(40.84586773, -73.915888033)","PATROL BORO BRONX",NULL,25-44,"WHITE HISPANIC",F
642234217,2030-01-01,13:50:00,2013-10-28,13:50:00,120,2013-10-28,351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,"STATEN ISLAND",INSIDE,"RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,NULL,NULL,NULL,962835,167738,NULL,NULL,NULL,NULL,40.627060894,-74.077149232,"(40.627060894, -74.077149232)","PATROL BORO STATEN ISLAND",NULL,45-64,WHITE,M
242465164,2012-05-09,20:50:00,2012-05-09,21:00:00,24,2012-05-09,236,"DANGEROUS WEAPONS",782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,MANHATTAN,NULL,STREET,"N.Y. POLICE DEPT",0,NULL,NULL,NULL,992820,231089,NULL,NULL,NULL,NULL,40.800965968,-73.969047272,"(40.800965968, -73.969047272)","PATROL BORO MAN NORTH",NULL,NULL,UNKNOWN,E
927207428,2014-01-03,13:30:00,2014-01-03,13:35:00,108,2014-01-03,109,"GRAND LARCENY",409,"LARCENY,GRAND BY EXTORTION",ATTEMPTED,FELONY,QUEENS,INSIDE,"RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,NULL,NULL,NULL,1013552,210803,NULL,UNKNOWN,M,NULL,40.745241809,-73.894253382,"(40.745241809, -73.894253382)","PATROL BORO QUEENS NORTH",NULL,45-64,"ASIAN / PACIFIC ISLANDER",M
492142357,2016-04-13,00:00:00,NULL,NULL,40,2016-04-13,351,"CRIMINAL MISCHIEF & RELATED OF",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BRONX,NULL,HIGHWAY/PARKWAY,"N.Y. POLICE DEPT",0,NULL,NULL,NULL,1005028,234516,NULL,NULL,NULL,NULL,40.810351863,-73.924942326,"(40.810351863, -73.924942326)","PATROL BORO BRONX",NULL,UNKNOWN,UNKNOWN,E
572616350,2014-08-18,14:30:00,2014-08-18,16:00:00,102,2014-08-18,341,"PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,QUEENS,"FRONT OF",STREET,"N.Y. POLICE DEPT",0,NULL,NULL,NULL,1025425,188384,NULL,NULL,NULL,NULL,40.683659778,-73.85154207,"(40.683659778, -73.85154207)","PATROL BORO QUEENS SOUTH",NULL,18-24,WHITE,F
593660503,2012-02-20,01:30:00,2012-02-20,02:00:00,32,2012-02-20,344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,"RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,NULL,NULL,NULL,1000693,234939,25-44,BLACK,M,NULL,40.811522012,-73.940601181,"(40.811522012, -73.940601181)","PATROL BORO MAN NORTH",NULL,25-44,BLACK,F
671754904,2017-06-25,14:00:00,2017-06-25,14:15:00,13,2017-06-25,578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,"OPPOSITE OF","OPEN AREAS (OPEN LOTS)","N.Y. POLICE DEPT",0,NULL,NULL,NULL,988958,209044,UNKNOWN,UNKNOWN,U,NULL,40.740461082,-73.983011957,"(40.740461082, -73.983011957)","PATROL BORO MAN SOUTH",NULL,45-64,WHITE,F
922264723,2012-09-30,16:00:00,2012-10-02,20:15:00,70,2012-10-02,341,"PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,"FRONT OF",STREET,"N.Y. POLICE DEPT",0,NULL,NULL,NULL,998399,167990,NULL,NULL,NULL,NULL,40.627767171,-73.949028967,"(40.627767171, -73.949028967)","PATROL BORO BKLYN SOUTH",NULL,25-44,WHITE,M
467512872,2016-10-28,12:00:00,2017-02-27,12:15:00,81,2017-02-27,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,BROOKLYN,INSIDE,"RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,NULL,NULL,NULL,1006656,186666,NULL,NULL,NULL,NULL,40.679011668,-73.919220684,"(40.679011668, -73.919220684)","PATROL BORO BKLYN NORTH",NULL,65+,BLACK,F
